channelId,title,description,publishedAt,subscriberCount,viewCount,videoCount,topic
UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,"MKBHD: Quality Tech Videos | YouTuber | Geek | Consumer Electronics | Tech Head | Internet Personality!

business@MKBHD.com

NYC",2008-03-21T15:25:54Z,20400000,5049609666,1774,tech influencer
UCXUJJNoP1QupwsYIWFXmsZg,Tech Burner,Subscribe 🔥,2014-09-26T18:24:03Z,12500000,2420503847,1524,tech influencer
UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,"Let's become the Greatest Tech Community on the Planet 🌍

I'm Arun Maini, I'm a 28 year old Economics graduate whose life's passion is Technology, and I'm on a mission to make the most FUN and USEFUL Tech videos on the Planet! 🙏
",2011-04-20T12:10:24Z,21800000,7819996071,1851,tech influencer
UCBW8ENk_9sp13G42hNly_sg,Tech Influence,"I’m Andy, a Tech Influencer #ShareASale",2011-09-30T22:44:36Z,16400,11108476,3196,tech influencer
UCDEEw71KgDrxG61_p7U58ZA,Jayaraj G Nath,"The most subscribed Tech channel from Kerala, India. I started to post tech videos in my channel from 24 Oct 2015. My most popular video got around 2 million views. Most of my videos were listed in Youtube trending list. Minimum 20,000 views guaranteed for my videos. I started my career as IT teacher in an higher secondary school in Kerala. Later I shifted to Dubai and worked as Manager in a firm.  Now I fully concentrating my career as an Youtuber. 

If anybody wants to market their Business, Gadgets, Smartphones or any Applications, Kindly mail me to promotionjayaraj@gmail.com or call me to my office +9179948 03383  (സംശയങ്ങള്‍ ചോദിക്കാന്‍ ഈ നമ്പറില്‍ വിളിക്കരുത്. കാരണം ഫോണ്‍ എടുക്കുന്നത് ജയരാജ് ആയിരിക്കില്ല ) . I do not provide any tech support or clearing doubts over e-mail or phone. So kindly avoid that type of calls and mails.",2011-09-30T15:50:40Z,1820000,282717220,2190,tech influencer
UCS261lQDXjMvc8Jck-2CQEg,Gyan Therapy,"We present tech products in simple & easy-to-understand language. Our goal is to provide tech-related information and help people make informed buying decisions. As the owner of Gyan Therapy, I take pride in the fact that we not only focus on tech product unboxing and reviews but have also helped many people avoid scams and frauds. We have stood up for consumer rights and raised our voice for them whenever needed.
I am here to learn, earn, grow, and most importantly, help my viewers make the right decisions when purchasing tech products through my reviews and bring a positive impact to my viewers' lives.

We collaborate only with good and reputed brands, and we strictly avoid promoting gambling or any platform that could negatively impact the lives of our youth.
Thank You
Subscribe for Tech Videos ⚡️

Only for business inquiries Contact at-
gyantherapyindia@gmail.com

",2018-08-05T18:58:33Z,3960000,1288550926,1567,tech influencer
UCzLaQ6eeTVuAltzTrN7fzyg,The YouTube Tech Guy,"The YouTube Tech Guy is a technology-focused YouTube channel dedicated to bringing you the latest news, reviews, comparisons, and tutorials on consumer electronics. My name is Ricky Perez, a tech influencer, enthusiast, and expert, and I cover a wide range of topics, including smartphones, laptops, gaming devices, and more. I take a in-depth look at the latest technology trends, help you make informed decisions about your tech purchases, then show you how to use them. Subscribe now for all things tech!

Have a product you'd like me to review?
email: eric.lecuyer@smallscreenmarketing.com
",2012-02-16T20:13:31Z,421000,92210375,3901,tech influencer
UCloDDgLMTwfIy80-TrqgRuA,ORBIT,"Welcome to the ORBIT

I'm Kilian and I review products surrounding tech.
",2021-11-24T17:14:55.550498Z,46800,7243968,139,tech influencer
UCMUNHqVoOleBzcLP8AA1riA,Adarsh TechLover,"""HELLO N WELCOME friends...I'm 'Adarsh Kumar' and Meeru chusthunnaru Adarsh Tech Lover !""",2020-12-03T04:53:59.212769Z,440000,34900639,511,tech influencer
UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,"Having the conversations that I wish someone had with me over a decade ago.
 
Want to be a guest on Financial Audit? We film weekdays in our studio in Austin, Texas (in person only)! To apply, visit: http://calebhammer.com/apply

Sponsorship and business inquiries: business@calebhammer.com
",2020-05-20T15:46:09.004801Z,2550000,2253716542,3088,tech influencer
